index,199612,199701,199702,199703,199704,199705,199706,199707,199708,199709,199710,199711,199712,199801,199802,199803,199804,199805,199806,199807,199808,199809,199810,199811,199812,199901,199902,199903,199904,199905,199906,199907,199908,199909,199910,199911,199912,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,2-Jan,2-Feb,2-Mar,2-Apr,2-May,2-Jun,2-Jul,2-Aug,2-Sep,2-Oct,2-Nov,2-Dec,3-Jan,3-Feb,3-Mar,3-Apr,3-May,3-Jun,3-Jul,3-Aug,3-Sep,3-Oct,3-Nov,3-Dec,4-Jan,4-Feb,4-Mar,4-Apr,4-May,4-Jun,4-Jul,4-Aug,4-Sep,4-Oct,4-Nov,4-Dec,5-Jan,5-Feb,5-Mar,5-Apr,5-May,5-Jun,5-Jul,5-Aug,5-Sep,5-Oct,5-Nov,5-Dec,6-Jan,6-Feb,6-Mar,6-Apr,6-May,6-Jun,6-Jul,6-Aug,6-Sep,6-Oct,6-Nov,6-Dec,7-Jan,7-Feb,7-Mar,7-Apr,7-May,7-Jun,7-Jul,7-Aug,7-Sep,7-Oct,7-Nov,7-Dec,8-Jan,8-Feb,8-Mar,8-Apr,8-May,8-Jun,8-Jul,8-Aug,8-Sep,8-Oct,8-Nov,8-Dec,9-Jan,9-Feb,9-Mar,9-Apr,9-May,9-Jun,9-Jul,9-Aug,9-Sep,9-Oct,9-Nov,9-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,-0.25,,,0.27,,,0.325,,,0.545,,,,0.68,0.68,-0.27,0.606666667,,0.275,,,0.071,0.615,0.6,,-0.322,-0.28,0.35,-0.157333333,,-0.24,,,-0.226,-0.615,-0.155,,-0.358,0.123333333,0.095,-0.449333333,0.53,-0.36,,,-0.39,,-0.445,,,-0.523333333,-0.445,0.786,0.1738,,0.811666667,0.573,0.803333333,0.886,1.123285714,1.153166667,0.994166667,0.975266667,,0.186,-0.7038,0.668333333,-0.811666667,-0.573,-0.166466667,-0.2285,-0.479885714,-0.511166667,-0.244166667,-0.292524731,0.756666667,-0.1835,,0.218575758,0.825,,0.472167232,0.563534483,0.03535,-0.642,-0.0066,0.106091398,0.023333333,0.094017241,0.99,0.006390909,0.076314286,0.963333333,0.028377866,0.002965517,0.33625,1.243333333,0.5266,0.406871212,0.293333333,0.052432759,-0.99,-0.8933,-0.901314286,-0.963333333,-0.307911765,-0.5542,-1.015,-1.243333333,-0.665714286,-0.690133117,-0.576666667,-0.53495,0.376666667,0.346666667,0.3525,,-0.334055556,-0.128966667,0.531333333,0.645555556,0.026603175,0.09806746,0.063333333,0.240844444,0.25,-0.346666667,0.428409091,,0.35910101,0.145766667,-0.531333333,-0.645555556,0.005277778,0.003194444,-0.56,-0.074844444,-0.626666667,,-0.780909091,,-0.284545455,-0.083877778,,0.573333333,-0.2195,-0.1835,0.4,-0.183777778,0.44,,,,-0.18,-0.134055556,,-0.573333333,0.023333333,0.106901961,-0.4,0.148902778,0.113333333,,,,-0.39,0.184666667,,,-0.44,-0.041901961,,-0.056125,-0.076666667,,,,,-0.183333333,,,0.439,-0.099,,-0.475
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.873333333,,,1.22,,,,0.47,0.603333333,,,,-1.873333333,,,-1.22,,,,-0.47,-0.333333333,,,,,,,,,,,,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,0.049,,,,,,0.155,0.164333333,,,,0.2675,-0.149,,,0.225,,,-0.155,-0.164333333,,,,-0.0775,,0.196666667,,-0.225,,,,,,,,-0.19,,-0.196666667,,,,,,,,,,,,,,,,,,,0.306666667,,0.335,0.471,0.525,,,0.264545455,0.256,0.27875,,,-0.306666667,,-0.0375,-0.152764706,-0.191,0.316666667,,-0.00010101,-0.256,-0.03675,0.31,0.253333333,0.26,,-0.0255,-0.042235294,0.006,-0.316666667,,-0.264444444,,-0.242,-0.31,-0.253333333,-0.26,,-0.272,-0.229333333,-0.34,,,-0.005,,,,0.106666667,,,,0.023333333,0.17,,,0.155,0.23,,,0.103333333,,0.103333333,,0.005,-0.17,,,-0.15,-0.155,,,-0.21,,-0.103333333,,-0.075,,,,0.105,-0.075,,,,,,,,,,,-0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096666667,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,-0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.576666667,,,,,,1.373333333,1.322222222,0.983333333,,1.262833333,1.426666667,0.734285714,1.358666667,1.086666667,1.381666667,1.386428571,1.424615385,-0.846666667,-0.842888889,-0.496666667,0.475,-0.849083333,-0.983333333,-0.890396825,-0.892,-0.626666667,-0.948333333,-0.881984127,-0.831282051,0.116666667,-0.479333333,0.081904762,-0.475,-0.41375,-0.443333333,-0.420555556,-0.466666667,-0.46,-0.433333333,-0.504444444,-0.593333333,-0.643333333,,-0.568571429,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036666667,,,,,,,,,,,,-0.036666667,,,,,,,,,,,,,,,,,,,,,,0.173333333,,,0.33,,,,,,,,,-0.173333333,,,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.183333333,,,,,,,,,,,,-8.183333333,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147,,0.245,0.2505,0.2655,,,,,,,,-0.147,0.36,-0.245,-0.2505,-0.2655,,,,,,0.379333333,,,-0.36,,,,,,,,,-0.379333333,,,,,,,,0.51,,,,,,,,,,0.7,0.748176471,0.166666667,0.702166667,,,,0.499666667,,,,0.41,-0.7,-0.316926471,-0.676666667,-0.702166667,,,0.34,-0.119666667,0.622,0.332,0.502722222,0.072375,0.47,0.10875,0.448333333,0.54,0.533333333,,-0.34,0.172352941,-0.018666667,-0.332,-0.092722222,-0.026875,-0.005,-0.078,-0.448333333,-0.126666667,-0.533333333,,0.354444444,-0.099019608,-0.603333333,,-0.41,-0.002166667,-0.465,-0.462,,-0.413333333,,,-0.354444444,-0.01,,,,-0.453333333,,,,0.13,0.13,,,-0.443333333,0.34,0.393333333,0.335,0.37,,0.296666667,,-0.13,-0.13,,,,-0.34,-0.393333333,-0.335,-0.37,,0.013333333,0.29,,,,,,,,,,,-0.31,-0.29,,,,,,,,0.264444444,,0.313333333,,0.313333333,,,,0.243333333,0.32,0.243333333,,-0.264444444,0.328333333,-0.313333333,,0.12,,,,-0.243333333,-0.32,-0.243333333,,,0.121666667,,
