index,199612,199701,199702,199703,199704,199705,199706,199707,199708,199709,199710,199711,199712,199801,199802,199803,199804,199805,199806,199807,199808,199809,199810,199811,199812,199901,199902,199903,199904,199905,199906,199907,199908,199909,199910,199911,199912,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,2-Jan,2-Feb,2-Mar,2-Apr,2-May,2-Jun,2-Jul,2-Aug,2-Sep,2-Oct,2-Nov,2-Dec,3-Jan,3-Feb,3-Mar,3-Apr,3-May,3-Jun,3-Jul,3-Aug,3-Sep,3-Oct,3-Nov,3-Dec,4-Jan,4-Feb,4-Mar,4-Apr,4-May,4-Jun,4-Jul,4-Aug,4-Sep,4-Oct,4-Nov,4-Dec,5-Jan,5-Feb,5-Mar,5-Apr,5-May,5-Jun,5-Jul,5-Aug,5-Sep,5-Oct,5-Nov,5-Dec,6-Jan,6-Feb,6-Mar,6-Apr,6-May,6-Jun,6-Jul,6-Aug,6-Sep,6-Oct,6-Nov,6-Dec,7-Jan,7-Feb,7-Mar,7-Apr,7-May,7-Jun,7-Jul,7-Aug,7-Sep,7-Oct,7-Nov,7-Dec,8-Jan,8-Feb,8-Mar,8-Apr,8-May,8-Jun,8-Jul,8-Aug,8-Sep,8-Oct,8-Nov,8-Dec,9-Jan,9-Feb,9-Mar,9-Apr,9-May,9-Jun,9-Jul,9-Aug,9-Sep,9-Oct,9-Nov,9-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct
2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.645,,,0.609666667,0.426666667,0.45,0.503333333,0.503333333,,,0.363333333,-0.344176471,-0.166666667,0.42,0.366,-0.209212121,-0.426666667,-0.15,-0.503333333,-0.153333333,,,-0.363333333,-0.175823529,-0.133333333,-0.42,-0.366,-0.148354545,,-0.129666667,,-0.35,,,,-0.26,-0.345,,,-0.2521,,-0.170333333,,,,,,,,,,,,,,0.373333333,,,0.462333333,0.616380952,,,,0.632444444,,,0.535333333,-0.373333333,,0.414333333,0.101,-0.616380952,0.59925,0.48,,-0.060444444,0.565833333,0.55855,-0.535333333,0.48,0.566666667,0.082333333,-0.563333333,,0.054083333,-0.48,,-0.022,-0.024166667,-0.05855,0.58,0.1,-0.566666667,0.1,,0.654,-0.653333333,,,0.091428571,0.125,0.05
2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833333333,,,,,,0.863333333,0.81,,0.746666667,1.06,,-0.833333333,,0.88,0.755,0.88,,-0.143333333,-0.81,0.553333333,-0.746666667,-0.412222222,,,,-0.88,-0.295,-0.88,0.466666667,-0.72,,-0.144,,-0.647777778,,,,,-0.46,,-0.466666667,,,-0.409333333,,,0.38,,,,,,0.425,0.414285714,0.442222222,0.446666667,0.433333333,0.463333333,0.093333333,,,,,,-0.425,-0.414285714,-0.222222222,-0.446666667,-0.433333333,-0.463333333,-0.473333333,,,0.14,,0.166666667,0.166666667,,-0.053333333,,,0.258333333,,,,-0.14,,-0.166666667,-0.166666667,,0.16,,,0.015,,,,,,,
2405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658888889,0.679238095,,0.66,0.789047619,0.8178,0.875478261,0.828,0.856666667,0.92,0.865,1.226238095,0.430111111,0.327398268,0.941666667,0.373333333,0.146952381,-0.8178,0.026188406,0.063666667,-0.856666667,-0.92,0.019266667,-0.396488095,-0.4065,-0.313779221,0.031666667,-0.480833333,-0.324333333,0.639333333,-0.325,-0.416111111,0.436666667,0.483333333,-0.432166667,-0.321416667,-0.6825,-0.392857143,-0.668083333,-0.188653846,-0.292946667,-0.189333333,-0.576666667,-0.185555556,-0.436666667,-0.483333333,-0.4521,-0.204333333,0.321666667,-0.02688,0.11075,-0.131846154,0.0114,-0.182666667,0.326130435,-0.29,0.2475,0.261666667,0.23,-0.032333333,-0.042666667,-0.00812,-0.097666667,0.032833333,-0.04187,0.069333333,-0.033463768,0.326666667,0.0825,0.033333333,0.032222222,-0.271666667,0.042785714,0.128073171,-0.052111111,0.070462963,-0.029519231,0.013333333,-0.041541667,0.01,-0.064015152,-0.125,0.00962963,0.296428571,0.034135338,0.00803794,0.143777778,-0.335296296,0.144285624,0.111666667,0.053471154,-0.013888889,0.046126263,0.143333333,0.023703704,0.028015873,0.028078947,-0.051111111,0.016666667,,-0.041896393,-0.0825,0.060003846
2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.036454545,1.026,,,1.395,,,1.478333333,,,,1.594444444,-1.036454545,-1.026,1.223333333,,-0.27055,,0.98675,-0.451666667,0.831666667,0.77,0.851666667,-1.594444444,0.959866667,,-0.423333333,,-0.48945,,-0.40675,-1.026666667,-0.831666667,-0.23,-0.341666667,,-0.419866667,0.565,-0.8,0.696666667,-0.045,,-0.58,,,-0.54,-0.51,,-0.54,-0.565,,-0.696666667,-0.59,,,,,,,,0.75,,0.75,,,,,,0.213333333,,0.236666667,0.22,-0.522222222,,-0.54,,0.208555556,,0.205,,-0.213333333,0.256666667,-0.236666667,0.036666667,0.067055556,,-0.21,,0.174777778,,0.201666667,,0.406666667,-0.256666667,,-0.256666667,0.201833333,,,,0.166666667,,0.143333333
2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38035,1.564666667,,1.213222222,0.98,,,1.433333333,,1.025,1.879333333,1.698705882,0.672983333,-1.564666667,1.626666667,0.705111111,0.687884615,1.916666667,0.86,-1.433333333,0.656666667,-1.025,-1.264333333,-0.987094771,-1.47,0.753666667,-0.946666667,-1.277733333,-1.105408425,-1.336666667,-0.386111111,,-0.17,0.423333333,-0.615,-0.267444444,-0.073333333,-0.427,-0.17,-0.6406,-0.489809524,-0.58,-0.473888889,0.149,-0.486666667,-0.423333333,,-0.223166667,-0.51,-0.326666667,-0.51,0.333666667,0.2365,,0.355555556,-0.149,,0.369333333,0.363333333,0.283545455,0.446666667,0.655714286,,0.176333333,0.536388889,1.192666667,0.741111111,1.410833333,1.229166667,1.737333333,1.692380952,2.574978355,2.603333333,3.060952381,1.3,0.654444444,0.26968254,-1.192666667,-0.045,-1.410833333,-1.229166667,-2.106666667,-2.055714286,-2.055079365,-3.05,-3.716666667,-1.3,-0.051111111,-1.115238095,,-1.051666667,,0.846666667,,,-0.442277778,,,,-1.113333333,0.506666667,,
2408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.118823529,1.153333333,1.463333333,1.226666667,1.456833333,1.467583333,1.617962963,1.931833333,1.94775,1.877,1.843333333,2.843266667,2.478343137,0.692666667,0.79,0.941888889,0.617384058,0.835416667,0.29037037,-0.386833333,-0.484416667,-0.567,-0.36,-2.843266667,-2.007654472,-1.846,-0.814787879,-1.074826523,-1.031771937,-1.208407407,-0.843282051,-0.646818182,-0.45,-1.31,-0.488,0.953,-0.554123306,1.055833333,-0.335420455,-1.093729032,-0.177112121,-0.064592593,-0.045051282,0.128484848,-0.115,1.06,-0.115333333,-0.953,-1.035388889,0.419944444,-1.103125,1.341,0.34762963,-1.03,0.116666667,-1.026666667,0.031666667,-1.06,-0.88,1.118888889,1.256666667,-0.414111111,1.214444444,-0.624333333,-0.437407407,,-0.663333333,,-0.93,,,-0.682525253,-0.68,-1.061666667,-1.214444444,-0.51,-0.509693487,0.28,-0.214166667,0.262222222,,0.368333333,0.483333333,0.013636364,-0.165,,,-0.206666667,0.239137931,-0.28,0.318611111,0.364444444,,-0.368333333,0.1,-0.45,0.288238095,0.730666667,,,0.266333333,0.696666667,-0.577777778
2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,1.052857143,1.041777778,1.1,1.133333333,1.301666667,1.45,,1.4,1.461428571,1.525,-0.99,,-1.052857143,0.422666667,-1.1,-0.075,-0.293333333,-1.45,,-1.4,-0.231428571,-0.468333333,0.65,0.854666667,,-0.811444444,0.656666667,-0.425111111,-1.008333333,,0.645,,-1.23,-0.212666667,0.125,-0.854666667,,-0.653,-0.656666667,-0.633222222,,,-0.645,,,-0.104,-0.005,,,,,,,,,,,-0.74,-0.77,,,,,,,,,,0.813333333,1.048888889,1.233333333,,,0.462,,0.506666667,0.29,0.506666667,,0.686666667,-0.813333333,-0.477777778,-1.233333333,0.491666667,,-0.009777778,,-0.026111111,0.092222222,-0.506666667,0.356666667,-0.686666667,0.287142857,-0.152777778,0.2,0.305,0.708571429,0.235777778,,0.116111111
2410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,2.288333333,2.277,2.170666667,2.009666667,1.520083333,1.458333333,1.503333333,,2.033617647,,1.492666667,0.02,-2.288333333,-0.367666667,-0.460666667,-2.009666667,0.108583333,-1.458333333,-1.503333333,1.86,-0.521784314,1.850538462,-0.222666667,-1.74,,-0.729333333,-0.555,1.27,-0.723833333,,0.854,-1.055,-0.458742424,-0.639447552,0.07875,1.526111111,1.236666667,-0.062833333,0.026083333,-0.033333333,0.357257576,1.406666667,-0.854,0.542857143,0.268631313,0.41779798,0.434194444,-1.526111111,-0.001897436,0.128254386,0.063371212,-0.110666667,-0.023132576,-0.26,1.208083333,-0.031690476,-1.321722222,-0.337138889,-0.535444444,1.0496,-0.366880342,-0.380296053,-0.625704545,-0.601,-0.736958333,-0.806666667,-1.208083333,-1.316166667,0.406666667,-0.829054348,-0.786543478,-0.5716,-0.867888889,-0.350881098,-0.089975806,0.031666667,0.029153846,0.146666667,0.541666667,0.383333333,0.145641026,0.234274936,0.219995859,0.226,0.679944444,0.134204373,0.153873694,0.094047619,0.076894934,0.143666667,0.062683333,0.13,-0.021355311,-0.101314338,-0.071161683,-0.049833333,-0.142444444,-0.07362069,-0.103617118,-0.650714286,-0.030775839
2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875909091,0.956666667,0.957333333,0.903333333,,,,,0.496666667,,,,-0.875909091,-0.956666667,-0.957333333,-0.903333333,,0.286,,,-0.496666667,0.4,0.44725,,,,,0.45,,0.182333333,0.473333333,0.466666667,0.44,-0.4,-0.080583333,0.378666667,0.325,,,-0.246666667,0.453333333,-0.185,-0.153333333,-0.17,-0.12,,-0.056666667,0.046333333,-0.325,0.28,,0.076666667,-0.453333333,-0.283333333,-0.32,-0.296666667,-0.32,,-0.31,-0.425,,-0.28,,-0.28,,,,,0.626666667,,0.667333333,0.701375,0.713333333,0.756666667,1.156666667,1.046666667,,,,,-0.626666667,0.873666667,-0.667333333,-0.701375,-0.713333333,-0.756666667,-1.156666667,-1.046666667,,,,,0.823333333,-0.170333333,0.71,0.808333333,,,,,,
2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.146666667,,1.162222222,,,1.253333333,,,,,,,0.349583333,,-0.518888889,,,-0.689333333,,,,,,,-1.49625,,-0.643333333,,,-0.564,,,0.665,0.686666667,0.765,0.704,0.8267,1.126666667,,,1.036666667,0.895,,0.846666667,0.358333333,0.361666667,-0.765,0.386,0.2733,0.25,1.23,,-0.356666667,-0.311666667,,-0.273333333,-0.49,-0.531666667,,-1.09,-1.1,-0.768974359,-0.564,,-0.68,-0.093333333,,-0.119333333,-0.533333333,-0.001666667,0.446666667,0.383333333,,-0.167692308,-0.666,,,-0.49,,-0.454,,-0.515,-0.446666667,-0.383333333,,-0.44,,,,,,,,,,,,,,,,,,
2413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786181818,,0.858,0.905,,,,0.908,,,1.107333333,,0.255818182,,-0.858,-0.905,,,,-0.908,,,-1.107333333,0.463333333,-1.042,,,,,,,,,,,-0.463333333,,,,,,,,,,,,,,,,,,,,,0.456666667,,,,,,,,,,0.584,,-0.456666667,0.506666667,,0.557625,0.575666667,0.183666667,0.185,0.183642857,0.165,0.15,-0.414,0.192222222,,-0.506666667,0.196857143,-0.347095588,-0.352333333,-0.183666667,-0.185,0.025642857,-0.165,0.018,0.012222222,-0.032222222,0.203333333,0.183333333,-0.196857143,0.007470588,0.033333333,0.18,0.203636364,-0.209285714,,0.044307692
2414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723333333,0.71125,0.92815,0.926666667,0.835,0.986666667,1.043333333,,,,1.095583333,0.872333333,0.426666667,-0.71125,-0.92815,-0.063333333,-0.835,-0.49,-1.043333333,0.74,0.676666667,0.555,-1.095583333,-0.135666667,-1.15,,,-0.224444444,,-0.496666667,,-0.74,-0.676666667,-0.555,0.412,-0.411666667,,,0.405,-0.638888889,,0.213333333,,0.19,,0.213333333,-0.122166667,-0.075,,,0.101333333,,,-0.213333333,,-0.19,0.207,0.016666667,0.002166667,-0.053333333,,,-0.506333333,0.22,0.309,0.326444444,0.368666667,0.412333333,-0.207,0.0675,-0.055333333,-0.196666667,0.376666667,0.403333333,,0.076277778,0.024333333,-0.067194444,-0.122,-0.412333333,,-0.0575,-0.236666667,0.307333333,-0.376666667,-0.403333333,,-0.019611111,0.14,-0.08425,-0.003333333,,,-0.24,0.255454545,-0.01447619,0.266666667,0.383333333,0.383333333,0.041904762,-0.473333333,0.135
2415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,,2.663238095,,2.813555556,2.806666667,,,3.03,3.415555556,2.216666667,-0.265,2.0946,2.105833333,-0.582126984,,-0.731586806,-2.806666667,2.161666667,,-0.951666667,-1.121269841,0.492619048,-2.205,-2.0946,-0.598055556,-0.672611111,,-0.64946875,,-2.161666667,,-0.6025,-2.294285714,-0.836619048,1.635,2.079,-0.113777778,-0.375708333,0.888,-0.41502,1.113333333,0.935,1.089133333,-0.431833333,0.935,-0.418982456,-0.093888889,-2.079,0.083682927,0.486097222,0.682,0.533662857,0.276666667,0.694266667,0.558366667,0.638333333,1.229162162,0.694039927,-1.541111111,2.226666667,0.722017073,0.391111111,0.661772727,0.663257143,0.781666667,0.558288889,0.405166667,0.276,-2.164162162,0.231418719,1.862,-0.546666667,-0.631853846,-1.91,-2.231772727,-0.687828571,-0.601666667,-0.600888889,-0.476,-0.410875,1.568333333,-0.475317857,-0.269,-0.36875,-0.27025,1.276666667,1.355,-0.226614907,-0.221666667,-0.416666667,-0.212222222,-0.220791667,-1.568333333,-0.283920238,-0.047,-1.31125,0.325648744,0.34,-1.355,0.223710145
2416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.676363636,,,1.85,,1.45,,1.74,,,,,-1.676363636,,,-1.85,,-0.283333333,,-1.74,,,,0.515,,,,,,-1.166666667,,,,,,-0.515,,0.785,0.707777778,0.707857143,0.872424242,1.078888889,1.0575,1.083666667,1.103444444,1.013333333,,0.998333333,1.030333333,-0.008333333,0.148888889,0.008809524,-0.155757576,-0.736888889,-0.794166667,-0.390333333,-1.103444444,-1.013333333,0.35,-0.448333333,-1.030333333,-0.776666667,-0.255333333,-0.716666667,-0.716666667,-0.342,0.186666667,-0.693333333,,,-0.142666667,-0.55,,,-0.601333333,,,,-0.45,,,,-0.207333333,,,0.406666667,,,,0.496666667,0.492222222,0.526666667,,0.466666667,0.45,0.533333333,,-0.406666667,,,,-0.496666667
2417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.710952381,,,,,0.69,,,0.653333333,,,1.173636364,0.302047619,0.593333333,,0.802,0.75,0.0975,,,0.095,0.653333333,0.553333333,-0.492525253,-0.536333333,-0.193333333,,-0.352733333,-0.436666667,-0.7875,,,-0.748333333,-0.653333333,-0.553333333,-0.681111111,-0.476666667,-0.4,,-0.449266667,-0.313333333,,,,,,,,,,0.05,0.05,,,,,,,,,,,-0.05,-0.05,,,,,,,0.453333333,,,,,,,,,,,,-0.453333333,,,,,,,,,,,0.42,0.72,,,,,,,
2418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.904666667,,,,,0.686666667,0.936666667,0.74,,,0.830833333,0.94,-0.904666667,,,,,-0.206666667,-0.936666667,-0.74,,,-0.830833333,-0.54,,,,,,-0.48,,,,0.333333333,,-0.054666667,,,,,,,,,,-0.333333333,,-0.345333333,,,0.185090909,0.136666667,,,,0.123333333,0.251111111,0.285,,0.253333333,,,-0.185090909,-0.136666667,,,0.253333333,0.03,-0.251111111,-0.285,0.49,0.412666667,,0.236666667,0.281666667,0.283333333,0.288888889,0.271666667,-0.253333333,-0.153333333,,,-0.49,-0.666,,-0.236666667,0.106666667,-0.006666667,-0.288888889,0.005,0.283333333,,,,0.26,,,0.33,-0.388333333,-0.276666667,,-0.276666667
2419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.555557692,1.605,,1.4885,1.609636364,1.651666667,1.627210526,1.549166667,1.717777778,1.90575,2.124521739,1.873552632,-0.455057692,-0.517142857,1.092,-0.399983871,-0.390405594,-0.560287356,-0.503488304,-0.5163,-0.690634921,-0.84929902,-0.970466184,-0.387219298,-0.1605,-1.087857143,-0.265333333,-0.247266129,-0.348564103,-0.20619181,-1.123722222,-0.0762,-0.122142857,-0.03965098,-0.211388889,-0.492583333,0.048818182,,-0.826666667,0.064977273,0.0645,-0.0209875,0.86375,-0.956666667,-0.033333333,-0.11805,-0.052466667,-0.069583333,-0.988818182,0.895,,-0.050560606,-0.051166667,-0.050533333,-0.170416667,0.766666667,-0.108333333,-0.89875,-0.065778947,-0.2075,0.779111111,-0.895,,-0.145888889,-0.142555556,-0.125333333,-0.124888889,0.060666667,-0.763333333,0.787666667,-0.173643275,0.023333333,-0.104611111,,,-0.035611111,-0.741444444,0.054111111,0.191555556,-0.827333333,,0.048133333,0.211588889,0.118333333,0.2645,0.89,0.976833333,0.263633333,,0.272777778,0.233333333,0.976777778,0.987277778,0.231866667,0.346595597,0.017222222,-0.035666667,-0.006666667,-0.127833333,-0.076422642,0.97,-0.123818713
2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.565,0.536666667,,0.566666667,,0.5,0.541666667,0.486666667,0.507,,0.552,0.529833333,-0.565,-0.536666667,,-0.149333333,,-0.5,-0.541666667,-0.486666667,-0.507,,-0.552,-0.347833333,,,,-0.417333333,,,,,,,,-0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7858,0.96,,,1.278333333,0.71,,,,,,,-0.7858,-0.96,,0.755714286,-0.608333333,-0.71,,,0.696666667,0.96,,,,0.825,0.95,0.228035714,0.496666667,0.51,,,-0.696666667,-0.96,,0.71375,0.793333333,-0.825,-0.95,-0.22675,-1.166666667,0.232666667,,,,,0.73,-0.02375,0.14,,0.796636364,0.129666667,,0.099,0.833333333,0.823333333,,,-0.73,-0.69,-0.121666667,0.473333333,-0.27930303,-0.413333333,,-0.359444444,-0.396666667,-0.382083333,0.433333333,0.44,0.433333333,0.597533333,-0.811666667,0.036666667,0.035166667,0.222083333,0.75,-0.214830918,-0.256666667,-0.227916667,-0.236666667,-0.240833333,-0.433333333,-0.320533333,0.263333333,-0.25,-0.245833333,-0.42095,-0.75,-0.267391304,0.033333333,-0.213333333,-0.196666667,-0.199166667,,-0.005666667,-0.009333333,-0.26,-0.306666667,-0.042466667,0.253333333,0.195
2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.458130435,3.248,1.91,3.707333333,3.997666667,3.879285714,4.036666667,3.644444444,4.101666667,3.392,5.17796,5.635714286,-0.238797101,-0.534666667,1.154444444,-0.936333333,-3.997666667,-1.062142857,-4.036666667,-3.644444444,-1.325666667,-0.601363636,-1.952254118,-2.311297619,0.046222222,0.593333333,0.132222222,0.219,2.563333333,0.132790476,,2.977111111,0.170666667,0.136030303,0.490588235,0.367583333,-3.265555556,-3.306666667,-3.196666667,0.457777778,-2.563333333,0.251831373,,-2.977111111,-2.946666667,0.05,-3.716294118,-0.652,,,,-1.484444444,,-1.248431373,2.133333333,,1.833333333,-1.196666667,1.99875,-0.912222222,,,1.588333333,-1.224666667,,-1.953333333,-1.346666667,,-1.833333333,-1.78,-1.315416667,-1.487777778,0.736666667,,-1.588333333,-0.141,,0.585,-0.201666667,,,,-0.070833333,-0.01,-0.126666667,,,-0.01074359,0.53,0.035,0.085,0.671428571,0.781904762,0.675555556,0.186388889,0.475,0.503333333,1.105,1.164,0.552826923,0.746666667,0.518695652
2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3645,0.39,0.433333333,0.43,,0.326666667,,,0.326666667,0.31,0.367333333,0.367333333,-0.071166667,-0.096666667,-0.142,-0.15,0.291333333,-0.057777778,0.286666667,,-0.326666667,-0.31,-0.169333333,-0.127333333,-0.293333333,-0.293333333,-0.128,-0.132833333,-0.291333333,-0.138888889,-0.286666667,,0.1395,0.151166667,-0.061666667,-0.123333333,,,-0.093,-0.133291667,,-0.117333333,,0.012666667,-0.087166667,-0.1105,-0.086,-0.066333333,,,-0.02,0.025791667,,-0.006666667,,-0.012666667,-0.037666667,-0.040666667,-0.016666667,0.041666667,0.014,,0.000333333,-0.027666667,,-0.002333333,,,-0.111333333,,-0.130333333,-0.065,0.017833333,,-0.050666667,0.011333333,,0.016666667,,0.05,0.117333333,,0.096666667,0.006,-0.031833333,,,-0.023333333,,-0.020333333,,-0.05,-0.020666667,,,-0.033,,,,,,
