index,199612,199701,199702,199703,199704,199705,199706,199707,199708,199709,199710,199711,199712,199801,199802,199803,199804,199805,199806,199807,199808,199809,199810,199811,199812,199901,199902,199903,199904,199905,199906,199907,199908,199909,199910,199911,199912,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,2002/1/1 0:00,2002/2/1 0:00,2002/3/1 0:00,2002/4/1 0:00,2002/5/1 0:00,2002/6/1 0:00,2002/7/1 0:00,2002/8/1 0:00,2002/9/1 0:00,2002/10/1 0:00,2002/11/1 0:00,2002/12/1 0:00,2003/1/1 0:00,2003/2/1 0:00,2003/3/1 0:00,2003/4/1 0:00,2003/5/1 0:00,2003/6/1 0:00,2003/7/1 0:00,2003/8/1 0:00,2003/9/1 0:00,2003/10/1 0:00,2003/11/1 0:00,2003/12/1 0:00,2004/1/1 0:00,2004/2/1 0:00,2004/3/1 0:00,2004/4/1 0:00,2004/5/1 0:00,2004/6/1 0:00,2004/7/1 0:00,2004/8/1 0:00,2004/9/1 0:00,2004/10/1 0:00,2004/11/1 0:00,2004/12/1 0:00,2005/1/1 0:00,2005/2/1 0:00,2005/3/1 0:00,2005/4/1 0:00,2005/5/1 0:00,2005/6/1 0:00,2005/7/1 0:00,2005/8/1 0:00,2005/9/1 0:00,2005/10/1 0:00,2005/11/1 0:00,2005/12/1 0:00,2006/1/1 0:00,2006/2/1 0:00,2006/3/1 0:00,2006/4/1 0:00,2006/5/1 0:00,2006/6/1 0:00,2006/7/1 0:00,2006/8/1 0:00,2006/9/1 0:00,2006/10/1 0:00,2006/11/1 0:00,2006/12/1 0:00,2007/1/1 0:00,2007/2/1 0:00,2007/3/1 0:00,2007/4/1 0:00,2007/5/1 0:00,2007/6/1 0:00,2007/7/1 0:00,2007/8/1 0:00,2007/9/1 0:00,2007/10/1 0:00,2007/11/1 0:00,2007/12/1 0:00,2008/1/1 0:00,2008/2/1 0:00,2008/3/1 0:00,2008/4/1 0:00,2008/5/1 0:00,2008/6/1 0:00,2008/7/1 0:00,2008/8/1 0:00,2008/9/1 0:00,2008/10/1 0:00,2008/11/1 0:00,2008/12/1 0:00,2009/1/1 0:00,2009/2/1 0:00,2009/3/1 0:00,2009/4/1 0:00,2009/5/1 0:00,2009/6/1 0:00,2009/7/1 0:00,2009/8/1 0:00,2009/9/1 0:00,2009/10/1 0:00,2009/11/1 0:00,2009/12/1 0:00,2010/1/1 0:00,2010/2/1 0:00,2010/3/1 0:00,2010/4/1 0:00,2010/5/1 0:00,2010/6/1 0:00,2010/7/1 0:00,2010/8/1 0:00,2010/9/1 0:00,2010/10/1 0:00,2010/11/1 0:00,2010/12/1 0:00,2011/1/1 0:00,2011/2/1 0:00,2011/3/1 0:00,2011/4/1 0:00,2011/5/1 0:00,2011/6/1 0:00,2011/7/1 0:00,2011/8/1 0:00,2011/9/1 0:00,2011/10/1 0:00,2011/11/1 0:00,2011/12/1 0:00,2012/1/1 0:00,2012/2/1 0:00,2012/3/1 0:00,2012/4/1 0:00,2012/5/1 0:00,2012/6/1 0:00,2012/7/1 0:00,2012/8/1 0:00,2012/9/1 0:00,2012/10/1 0:00,2012/11/1 0:00,2012/12/1 0:00,2013/1/1 0:00,2013/2/1 0:00,2013/3/1 0:00,2013/4/1 0:00,2013/5/1 0:00,2013/6/1 0:00,2013/7/1 0:00,2013/8/1 0:00,2013/9/1 0:00,2013/10/1 0:00,2013/11/1 0:00,2013/12/1 0:00,2014/1/1 0:00,2014/2/1 0:00,2014/3/1 0:00,2014/4/1 0:00,2014/5/1 0:00,2014/6/1 0:00,2014/7/1 0:00,2014/8/1 0:00,2014/9/1 0:00,2014/10/1 0:00,2014/11/1 0:00,2014/12/1 0:00,2015/1/1 0:00,2015/2/1 0:00,2015/3/1 0:00,2015/4/1 0:00,2015/5/1 0:00,2015/6/1 0:00,2015/7/1 0:00,2015/8/1 0:00,2015/9/1 0:00,2015/10/1 0:00,2015/11/1 0:00,2015/12/1 0:00,2016/1/1 0:00,2016/2/1 0:00,2016/3/1 0:00,2016/4/1 0:00,2016/5/1 0:00,2016/6/1 0:00,2016/7/1 0:00,2016/8/1 0:00,2016/9/1 0:00,2016/10/1 0:00,2016/11/1 0:00,2016/12/1 0:00,2017/1/1 0:00,2017/2/1 0:00,2017/3/1 0:00,2017/4/1 0:00,2017/5/1 0:00,2017/6/1 0:00,2017/7/1 0:00,2017/8/1 0:00,2017/9/1 0:00,2017/10/1 0:00,2017/11/1 0:00,2017/12/1 0:00,2018/1/1 0:00,2018/2/1 0:00,2018/3/1 0:00,2018/4/1 0:00,2018/5/1 0:00,2018/6/1 0:00,2018/7/1 0:00,2018/8/1 0:00,2018/9/1 0:00,2018/10/1 0:00
2430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16465928381,-44169246646,-90293880236,13101747614,15087767594,-13117574427,-77003723463,50281461693,,1.14E+11,31770677461,38097759132,18637257669,-40159026764,,52078032231,19966422490,-24847800926,29935047957,29235340010,-45603570447,3.79E+11,82588075249,26409755556,-1.62E+11,-39489032949,-34745791657,19439946574,52252129875,24268219008,45589882408,51530136888,32844862300,-62665565446,23723917137,7435329107,,,43478321033,,-49655482325,,,2.91E+11,,-61142829259,1.03E+11,,,,45980294160,,46622392165,,,,,,,,,,,,,,,,,,-32653955731,,,,,,,,,-20671534297,34289067740,5114027387,58857612169,,-22145307982,-36253228890,-1.48E+11,20677583956,14883338632,-6255594213,-1.45E+11,-31385507246,-23849085833,,35986277130,-1.17E+11,28395655176,36933244133,-40544417894,1.13E+11,82759092650
2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7819763369,7327402693,2834300000,,16508183840,1.17E+11,,,-5.47E+11,11622377457,29146412633,28322263621,42773037543,-13066487390,64190765897,33181467763,-89273474266,,,,-22264059497,44157258065,21077175224,63582980362,-77132598737,29934180867,64615659243,,-1.33E+11,22166658706,32401304132,,9561286498,29907478455,-7471472761,-20269637937,58628041134,18349310766,-19275217823,,-33216410689,-1.04E+11,,-6711527004,2.13E+11,-25750368273,-3.38E+11,-75021921583,,59915166178,,-4.09E+11,-4.04E+11,,,,,-15127760816,76453103165,7632128616,10933734458,2.09E+11,,,,2955778926,9434184908,1441736869,-1564144984,7210114613,-24739053816,6922960178,-19398619399,,1.29E+11,,-12756280425,,,8674450227,74051407589,27302829828,22972259576,-8.33E+11,-65587119889,39045682006,-70940637486,1.05E+11,-2.62E+11,-44893091935,,-20875775670,4.25E+11,,65376030671,-56048335613,,,-4655821539,,
2432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5572156294,,3530149130,7239018570,3798751031,-5156239891,2325020959,95075075075,-6161814455,-6178072112,-1095752131,,,,1471937914,-2116560589,17103133609,,,2565716617,,,,,,,,,,,,,,,,,,-1638778679,,,,,,,-990315473,,,,,,,15176672384,-2465130334,,3546638294,,,184337975.3,-180873454.4,379828200.8,,,-320663032.5,,393939393.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13933221868,-8217050929,,,11400149654,,,,,,,,,,68738453418,,7922384159,6809238859,1243800003,6994473892,-24028461959,24615921788,-4.76E+11,,,-19196268389,-30238178634,,7853354768,11834186652,,,-6259700305,1.52E+11,,,,,,3486595001,-4136907718,,,,9586052487,10982473738,6402057355,-35573109140,8410262808,,12202161109,1.21E+11,-20679958494,5648677462,,-13826454070,4.03E+11,37012745098,-59687553065,,6586153121,,-4963701566,-13026285183,-51552830296,-22148952676,,,,1.12E+11,,,31556503198,-3.55E+11,47987887740,17633498000,86851640900,,,,,,56875180167,,,,1.72E+11,,,,,,,,49914869082,,15929054764,,,,
2434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10090130162,1.40E+11,42410015649,,,-5878499946,27589296627,,8207177833,-66706003229,-4952387996,,55615667604,-80470057952,-39314854300,,2408149574,-2400341822,45479755962,65380877331,-6058882637,,,,,-4675416721,,,-93439593440,,,2886379624,14626975377,,-6294147626,-13769408998,,-5667082962,-18579356454,,2161953608,,,,,-5744822979,,,,,,,,,,,,-29162886750,25354213274,,,,,,,,,,,,,5925436602,-94166362752,-86244301339,86806682578,-75537075537,11506514057,,,,-4.06E+11,-64457820714,-9.14E+11,81398789357,2.69E+11,,,26711296514,1.75E+11,-2.82E+11,,-20819800000,-75904731937,,-40379945054,1.57E+11,,,97398071660,2.17E+11,39201392022
2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10346666667,,,,,-3382392762,,8324948325,,,,,-11775206817,,,,,,,,,,,,,,,,,,,,,,-1597236048,,,,,,,,,,,,,,,,,4515892164,,,,,,,2426220998,,,-64842077073,,,,,,,-1991671193,-1.45E+11,,,,,,,,,,,,,,,,,20522836964,,,,,
2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7746613626,,6425511661,4944038929,10676076564,,,,,30644066779,14219757404,4375762496,39136883403,-12705497285,-44638872323,,6508685412,,,,,-13271788576,2.08E+11,11244198744,,-33585899296,7997704950,77401129944,84411119612,,,-18497041068,,,,,,5.36E+11,-5610427450,,35938611648,,,,5764403664,,7118520439,19717318042,,,8787267429,,,,9606782554,-1.33E+11,9.96E+11,-28769026851,18577955124,-9143210394,6236473426,,,,23407351174,-9276350348,-8453605577,,,-1.94E+11,,,-81861346354,,-31156496393,15135051226,17505181008,,-43456562632,,17020796025,37821577455,,,,,,,,,,,,,,,,,,,
2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26512783229,,11539402001,,5193757221,14353250388,12135001896,,1.19E+11,,-2.02E+11,,,,-3.11E+11,-36111468934,18612924464,,,,,,63035490605,,,,,,15406268064,-2.96E+11,,-12710585409,2641580253,-14661891594,-6999888181,,,13514711095,17403542062,,6966411230,9479201704,,-29252474491,5279428896,10245668334,23334631866,,-24492825334,-41227651967,1.65E+11,,-45338334371,,,12866381102,4.08E+11,,53498339400,,8928626211,,-2.74E+11,,69080031435,-1.14E+11,,,,,1.38E+11,,,,2.29E+11,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11885827754,-5289633854,3191933737,,2465964953,-1597588719,,,4270449589,,9036733099,,,-2669044397,,,26051188300,-1181569885,3771213074,,,3910264958,23693892568,,4551438956,1.42E+11,-2925958965,,23125913821,,35931453842,6515666262,,-14194605685,,,,,-23704789834,,1130627393,,,,12120753702,15512638412,-55159278678,,,-14103741726,,-12657568549,-10055050922,,,-2069790168,,-4185944041,12214523993,,,,,,554696848.8,1435025246,,2404978574,-614963613.4,-28315749812,-5935872513,3128534047,63697456670,,-20061861216,3070232944,3633469335,,,15935876175,,18186767169,39251268529,-44786699820,,,,,38918243096,,,,,,-7981666667,,,,-5715196144,,2187269599
2439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2278501770,-3731984198,8398284092,2269468082,12080681696,,,,,,,7504958188,,-4553434277,-3267180163,,2654127694,,,,,-2249312457,,,,-1.80E+11,6482531989,,66687440982,,,-7385111352,-1.83E+11,-3129147694,-3179225585,5631833206,9596396652,1.47E+11,-4620531077,,,,,-37339572193,,6627292411,21923121515,-38362987275,-28245538284,,4.91E+11,9305184078,-10705259911,,-12410042826,,,23498800959,-12102437468,4796310952,7794930971,-12616466452,-4152779724,-13793968603,4618131841,-14866779089,-10121162527,,-3782477476,-15721389341,,,,3.88E+11,2.20E+11,-83589689340,18946916108,,-82180023603,88325966225,2.48E+11,81959037925,,39004377319,-1.44E+11,-4.15E+11,13237388624,95118098671,14203402582,-15568829688,1.81E+11,26834345681,36397377014,9036269550,-49000148440,37374829965,12064030697,-40749374083,-27923616428,,2.38E+11
2440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28789076799,,29522706118,,,,,,,1.27E+11,,,-25167933333,-1.21E+11,,-89127919813,,,-2.44E+11,-3.47E+11,-67195986512,-18236261202,,,-47912763819,-54481506091,46915783122,23219844358,,40549405494,-22692273847,1.03E+11,,-23913755286,-47502070842,,,-11515812770,78745995181,-42923660257,,,5.14E+11,-69455890122,19305913209,-1.03E+11,,,,2.20E+11,,53510334996,,,,-94541156243,,-2.05E+11,,,,-34078592031,,4.93E+11,,,,,67349982454,-96916303070,,,60342940280,5.39E+11,,63490977393,,,,3.26E+11,,84183393660,1.28E+12,,,-2.45E+11,,3.62E+11,,21146485443,-42861885790,-64872929135,-3.26E+11,-1.00E+11,70744186047,,,-5.74E+11,,56609031554
2441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22844776119,,,,,,,-7248774036,,,9428223844,-7699616413,,-13175805676,-64908752328,84076281287,,,-35771170693,-7591451073,,,9917465389,,,,8953600000,19398113525,-69352220747,-45234326282,,,-7044174914,,-30736078031,,,,,,,,-46987190534,,,39651416122,,5582741276,35167623326,-16708682652,15710269555,-12854030501,12369124033,,,,,,,,53257396116,,,-39320699442,34543589744,7915206365,,,48478979795,,,,,,,,,,,,,,,,,,,,,7355511739,6815140645,,80650107329,,31070531999
2442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2775064810,,,4696080288,,,,2.04E+11,,,3747069282,,,,,16562810871,,,,,5730236554,-99583808438,,,-3890431137,47070914697,,44668042656,,,,,,,,,,,,,,,,,,,,,,-4534906783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4345959397,70444341229,36893475467,13061696287,,,5023065722,-29355064844,-7528379773,56720098644,,1.02E+11,-10337937016,-3804937799,-2154547338,27786450203,-1376686054,4591415600,,-6280159775,,-9475016600,,,-3506402617,7322525810,10220744177,1.15E+11,4406473766,11992168380,10432745498,18999803111,-8216345066,-68549342994,-16858772849,-12511741837,23719237125,1.41E+11,,-10840108401,,,,-9953200185,,59165058828,,,,5760785327,,,,,,,,-3456193353,-8567188343,,-2255011388,-1525728727,,,,,3288069007,-1403212229,-29391617323,2994589816,,9214603063,-8150559301,,9572880592,-2809438793,,,8815655866,,,11133288978,,,,,,,,,,,,,,,,,,
2444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83351275917,28385998313,6872765542,-9501860865,32675027782,,,70761798020,20772711354,14524760044,28784512401,1.66E+11,-17757710470,,9645254316,-5033171610,,,-25023809524,,1.21E+11,-3.49E+11,-13321028361,,1.05E+11,,62899032834,40175996857,3.38E+11,-39888770315,10791097566,7063568425,,-30847912215,2.03E+11,8571153085,-10471246944,-15786727283,-42824960307,9486722899,-1.05E+11,,16523063082,-36874007046,27826535655,71422519103,-1.98E+11,1.61E+11,51774851295,-8.36E+11,-54901680856,-67505937276,,-98877697842,19024936051,-37852437921,-19205223946,-29205607477,11302976038,,-14668420554,1.16E+11,,76276301006,-32705634149,24729781895,-6160555845,31976084007,-6.73E+11,15613826284,33396623541,-79588096491,-1.27E+12,,2.08E+11,,35451931771,76920969928,25325942924,1.37E+12,-41432700214,-1.62E+11,-79105675993,,-4.38E+11,81295837053,-1.35E+11,,69143431097,-20655586982,,,82625046041,82779406973,29198375443,-65665662435,-33393181830,,58151889630
2445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6620327295,,1.22E+11,,-3.34E+11,,11250467489,,,,9348596348,,,,,,-24083333333,-28221107564,,,,,-14012587579,37117377681,,,,,,,,,10068846816,,-60093205789,,,,,,26986951364,,,,6850020602,,-20161036674,,,,30434317209,-1.40E+11,-34376055245,,,,,,3136726227,-9640120416,,7843950806,,61368045931,-71290267857,11510559894,50590261945,,,-69321826047,40192926045,,-59697723912,38972841045,-2.74E+11,,2.97E+11,,,41397293337,68261901774,,1.20E+11,,,,,,,,,,,,
2446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5332982789,9366452281,3476807355,4102603674,,2404505095,-8811814881,-3853311440,-5682726909,4021421963,-5267988253,18249780123,17731904195,-2301414758,,-33632867133,,,,-4196247465,,-34036488027,,,,-6759145927,,,,,,,,,,,,,,,,,,,-1350627400,-4130098090,,5604955160,9936766034,5214258627,,-8432688040,-26471740306,,-28680421234,,,2070601299,,,,-2658521410,,-2.10E+11,,-4438376790,3516506922,-2578318639,4696881305,29667763605,6177002518,,,-40565229159,,-23005073801,86663161584,,1.35E+11,,45027759272,,-2.14E+11,,,-87639770323,,,,,,,,,,,,,,
2447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4088510371,939388179.1,7131288889,-2318673226,,,46027846028,-6532693600,,19426964150,8238087658,,4878358751,-10278628140,-7793181573,5813203539,-2766240113,4983057604,-20587854461,,,-29717034294,,6767727137,-22836753438,25921858824,5545100446,19281630130,1.85E+11,,-13050796264,7664136056,,-4655591208,,,77210170282,-7720319271,,2.47E+11,,,,30797299763,-74361820200,25827603572,7146540480,,,-35218096400,2.97E+11,-19239895247,,,,,,-5.26E+11,,,,-3953898157,,,-18322881860,,,,,,,,,-11735593318,29876404883,-33720147080,-2.94E+11,-77240410053,28616058807,-58983585859,,,,,,,,,,,,,,,,,,,,
2448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93239948674,,,,,4876292708,,,-28198653199,-24158260480,,-11145752838,-10112214112,37049742710,,24183218822,-2347673175,,,-10629694759,-14828319660,-1.43E+11,60636073512,,57675502476,-75481101770,8612591190,66039886040,32412766661,,-22538545060,11467202478,-12921187893,-23107667210,,,,-7243081029,,-9974625381,,,,,-14501102501,,2.90E+11,26325841046,,5903184896,10889042040,38792263726,,-6065284517,,-52973753913,,-27370882333,,,-9192825688,-4248151960,,-8647897871,-11615404581,-5318507294,4349319568,-3410056433,-8155050664,1.49E+11,,-12038013017,,-77984878369,72547822548,-16608034971,,2.70E+11,17509018635,31364160700,16955621780,1.03E+11,,,,51541355220,,68369380619,,,,14254475878,,96407521751,,,,1.12E+11,,33740112994
2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12957679999,11270600228,-20479431084,4592208438,-8838086918,10380575823,16649452656,-9711546409,-2.17E+11,1.27E+11,5073424783,,,-41410105128,,10337871911,,,,,25118709451,,9598210035,,-13786657320,-48195811254,,-17860263535,,,,,,,,,,-2117769287,27627859162,,,,,,,,,,,,2305022940,58773633774,,,-10725904839,-56645569620,6376603261,12661195172,8069279523,19028800811,,-4460661604,,,,,,,,15908289242,,,,,-18431419778,32540249195,,,,43298178705,40529565217,,,,4.31E+11,-1.11E+11,14616074019,18035648892,,,-14962241758,-49907350216,13160811685,40122156525,,,36646460382,-34697001125,,51812313783
2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4459269592,12313210254,,32300981461,27139728428,-35888770307,3473243050,,-9457178368,6940519224,17352061010,19327732263,25143346471,-8034228063,56776792218,24772752253,-10271050732,14629352915,9.14E+11,-1.49E+11,-2.65E+11,68382879503,1.77E+11,23888894603,-1.32E+11,40479537591,8538041079,-2.12E+11,26430176737,1.10E+11,-25653241593,,,-32824016260,-17727803570,,-36408440052,5.55E+11,-1.19E+11,-2.01E+11,2.73E+12,81809552358,4.41E+11,-93180073132,-62440589354,-3.38E+11,2.16E+11,1.20E+11,2.05E+11,38309201539,3.69E+11,33650443084,-1.56E+12,88437329452,-3.77E+11,20757196949,1.75E+11,5.35E+12,6.52E+11,22713212550,33442873278,83305481283,-1.20E+11,53088256878,89133537207,-62677238473,-23282845487,,-2.69E+11,1.46E+11,85778591083,-3.54E+11,-1.09E+11,-2.66E+11,,-2.19E+11,1.66E+12,1.81E+11,5.41E+11,1.41E+11,2.49E+11,-8.95E+11,1.21E+12,,-5.78E+11,-4.71E+11,6.71E+11,2.91E+12,,,-2.54E+11,2.45E+11,,97942762477,1.58E+12,,,,,
2451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2238789003,,,,,,,,,,,,,-4081108005,,-62171779141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635924159,11278656369,-5682059110,-31128404669,22062879206,3535872314,88281250000,,,,,,,,,,,,
2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77467269911,,7451266066,,,,,,,7594779751,,,,-2222866531,,6639668175,,12020976200,,,-7645196089,-11195418911,,,,61104910714,,-20274646975,,12955410549,,,,,-1.29E+11,,,,,1209732340,,,44652777778,,-7517352704,,,,,,-5673412677,-5277764828,5448205886,,-3346691678,,5752043481,-7956979845,,,,,,,,,11763831455,-2583927149,11917900632,8255712305,5537794324,,-22192313444,-27248513786,,,,47953154279,12662687557,26961651917,,1.46E+11,,,,-27881571856,,,,,,,,,,,,,,
2453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574307953,,,4837838406,,,3069897734,,-8549452083,-43471257984,11325426216,17199054896,8205454720,,14618663281,51257046899,,,8236735463,-7395727221,,9527957861,-4245061851,,,21376682148,,3116031160,8705279532,,,3558870085,,-30632630411,11066422325,,-1.27E+11,-2819036072,,,,,,,4907122362,1735077886,,69784301977,-1.14E+11,25079365079,9167926657,-5318999923,15218144419,3039549718,,,,-4575333504,,,,,,,,,,,,-6651475026,,,,,,,,,,,,,2461094378,,,,,,,,,,,,,,,,,
