,MKT,SMB,VMG
1997/1/1,0.09394493593517282,0.01653136206173271,-0.03262353015060561
1997/2/1,0.06018368529919675,0.03602918206362849,-0.06284054927762275
1997/3/1,0.18801565769303866,-0.0060229396314636086,0.034138129642680426
1997/4/1,0.11555863150072514,-0.07230300105268772,0.05961035387210467
1997/5/1,-0.08284161995908212,-0.050582228119671016,0.06023547512701108
1997/6/1,0.015102371481537025,-0.04627815816259813,0.03240599065444308
1997/7/1,-0.0873408257670514,0.061375437812621565,0.0028226515746045955
1997/8/1,-0.005923588442806612,0.033127129945783595,-0.10573383325620969
1997/9/1,-0.1393603102061594,0.006478747241763005,-0.004336216740435106
1997/10/1,0.12464180694340307,-0.027220037134883315,-0.017613598254382468
1997/11/1,-0.05736274910170612,0.018888771389544076,0.025238768646639632
1997/12/1,0.03818096983261807,0.013511183174733335,0.029515756138454176
1998/1/1,0.023892273853606608,0.0166837344072949,-0.010547021610992968
1998/2/1,-0.025766684578667265,0.02828594525647053,-0.043353205109610736
1998/3/1,0.01871580218240096,0.01652147356502101,-0.04157174858104834
1998/4/1,0.08254409971941801,0.053460143943864294,-0.0037921008383456356
1998/5/1,0.053902166168118125,0.07958607603554235,-0.08429307337957156
1998/6/1,-0.07012302081887559,0.009445763141075883,0.030205293481094825
1998/7/1,-0.020683090496090534,-0.0030287502538012268,-0.016725089585045115
1998/8/1,-0.13386602566975295,0.013329690235061767,-0.021214230974733628
1998/9/1,0.06012682273575976,0.06298878982904701,-0.03055468425333093
1998/10/1,-0.020159491579940365,0.025741374168697345,-0.0010220586914961166
1998/11/1,0.014137416816052567,-0.01572678463645022,0.013600468994189978
1998/12/1,-0.08803732650546982,-0.008287692985963699,0.020649502881026044
1999/1/1,-0.007066520152637154,0.014749500820761784,0.0031877346473396496
1999/2/1,-0.045218560509940595,-0.003942104991877089,-0.008046595791201136
1999/3/1,0.054498073576431855,0.050646606683605315,-0.04412145780762941
1999/4/1,-0.035218983436831976,0.008184725144292943,-0.015388223668760064
1999/5/1,0.11554637309313123,-0.03207352460676517,0.030971250620044494
1999/6/1,0.3718888227547483,-0.06878130468076615,-0.057876313376341415
1999/7/1,-0.07172532019495453,0.02369023281340272,0.012916739173734287
1999/8/1,-0.0032523629146525685,0.0583683328512527,-0.005715287567019688
1999/9/1,-0.03332021346510812,0.0035804585445577027,-0.014402918034873792
1999/10/1,-0.0556439080325788,0.03019102947782936,-0.002362696436807747
1999/11/1,-0.05025737197048028,0.02179404619043615,0.0014038002620428564
1999/12/1,-0.045444876508640514,-0.020336454304016267,0.012175094594672461
2000/1/1,0.17600339893346717,-0.0540000388000515,-0.030068997187904345
2000/2/1,0.11887651157689456,0.017109156532340228,-0.04505965843502262
2000/3/1,0.03430477205716533,0.08358914831231301,0.004288695073739517
2000/4/1,0.011950076393308898,0.0073123637024025984,0.011528307872634464
2000/5/1,0.021852967918798004,0.023708570299790812,0.0010966285761167573
2000/6/1,0.023505025607235826,0.0040295029346435855,0.030856734090019364
2000/7/1,0.03602161870109608,0.0024207406083501318,0.021359528048862673
2000/8/1,-0.013807506383530578,0.024824309781482215,-0.03206812267121285
2000/9/1,-0.05374165791657918,0.015466878418679018,-0.0157267722953126
2000/10/1,0.014259818072806733,0.029992733714441534,0.0007272671020976465
2000/11/1,0.05161868094144112,0.01428192608785605,0.01897642154049267
2000/12/1,-0.007908022600364408,0.016086906136287524,0.01591403211699932
2001/1/1,-0.009416999250036449,0.010100943929999218,0.02076992787430493
2001/2/1,-0.05776175998457766,-0.009252023740721947,0.03797433890473633
2001/3/1,0.06829973009688155,0.015561154292831073,-0.012906053465024714
2001/4/1,-0.014601836757367133,0.005584867026804899,-0.03458743892960858
2001/5/1,0.02021618058327785,0.03731991024208436,-0.016258234621868047
2001/6/1,-0.003383470984195374,0.009424452603980185,0.02115402657772216
2001/7/1,-0.1333186811781133,-0.00967172560252419,-0.002860461794691599
2001/8/1,-0.039747833353634195,0.0005871770859492767,-0.009433873799741192
2001/9/1,-0.05360228244529934,-0.008059947305721404,0.03211825625200088
2001/10/1,-0.051276637176161384,-0.020909894215733964,-0.008047399995451579
2001/11/1,0.033251976868302245,0.031036236517493477,0.019165068023761292
2001/12/1,-0.060282922586304154,-0.021310247902574818,0.0466994334876486
2002/1/1,-0.10140910999622439,-0.03437124548911767,0.05735657218253888
2002/2/1,0.023282758338003123,0.019994102761325384,-0.010154251805202012
2002/3/1,0.059893055486699896,0.029873009383742724,-0.03221792407483638
2002/4/1,0.0344788633824508,0.01920994438819252,-0.01483751245924135
2002/5/1,-0.08503480940463791,-0.009868394647290238,-0.034580595177700485
2002/6/1,0.13085477167670861,-0.02470585399651974,0.029406963827432603
2002/7/1,-0.044199137901035045,0.012462070602985431,-0.0015712966868073677
2002/8/1,0.0017839766937906613,0.003871734306949122,0.009548284296112045
2002/9/1,-0.054934065808924556,-0.0058031544694730625,0.009327491147359951
2002/10/1,-0.049307470867161446,-0.0092418128990754,0.005864920714239462
2002/11/1,-0.05832735135499752,-0.03333065964201117,0.012101043781163653
2002/12/1,-0.048427991468836376,-0.009155925163162451,0.006846530591985388
2003/1/1,0.08449280068608,0.019035966568829263,-0.0025825799009071004
2003/2/1,0.00838561359120086,0.010672107843927917,0.0013234142482496849
2003/3/1,-0.01333714410481806,-0.019602421572045826,0.03440970938192139
2003/4/1,-0.00216898879894869,-0.04046278062463926,0.05094376087934094
2003/5/1,0.046281389153248906,-0.016704335625610738,0.0046604426357726575
2003/6/1,-0.06762377449658682,-0.007283686072107082,0.009988241272626264
