Stkcd,1997/1/1,1997/2/1,1997/3/1,1997/4/1,1997/5/1,1997/6/1,1997/7/1,1997/8/1,1997/9/1,1997/10/1,1997/11/1,1997/12/1,1998/1/1,1998/2/1,1998/3/1,1998/4/1,1998/5/1,1998/6/1,1998/7/1,1998/8/1,1998/9/1,1998/10/1,1998/11/1,1998/12/1,1999/1/1,1999/2/1,1999/3/1,1999/4/1,1999/5/1,1999/6/1,1999/7/1,1999/8/1,1999/9/1,1999/10/1,1999/11/1,1999/12/1,2000/1/1,2000/2/1,2000/3/1,2000/4/1,2000/5/1,2000/6/1,2000/7/1,2000/8/1,2000/9/1,2000/10/1,2000/11/1,2000/12/1,2001/1/1,2001/2/1,2001/3/1,2001/4/1,2001/5/1,2001/6/1,2001/7/1,2001/8/1,2001/9/1,2001/10/1,2001/11/1,2001/12/1,2002/1/1,2002/2/1,2002/3/1,2002/4/1,2002/5/1,2002/6/1,2002/7/1,2002/8/1,2002/9/1,2002/10/1,2002/11/1,2002/12/1,2003/1/1,2003/2/1,2003/3/1,2003/4/1,2003/5/1,2003/6/1,2003/7/1,2003/8/1,2003/9/1,2003/10/1,2003/11/1,2003/12/1,2004/1/1,2004/2/1,2004/3/1,2004/4/1,2004/5/1,2004/6/1,2004/7/1,2004/8/1,2004/9/1,2004/10/1,2004/11/1,2004/12/1,2005/1/1,2005/2/1,2005/3/1,2005/4/1,2005/5/1,2005/6/1,2005/7/1,2005/8/1,2005/9/1,2005/10/1,2005/11/1,2005/12/1,2006/1/1,2006/2/1,2006/3/1,2006/4/1,2006/5/1,2006/6/1,2006/7/1,2006/8/1,2006/9/1,2006/10/1,2006/11/1,2006/12/1,2007/1/1,2007/2/1,2007/3/1,2007/4/1,2007/5/1,2007/6/1,2007/7/1,2007/8/1,2007/9/1,2007/10/1,2007/11/1,2007/12/1,2008/1/1,2008/2/1,2008/3/1,2008/4/1,2008/5/1,2008/6/1,2008/7/1,2008/8/1,2008/9/1,2008/10/1,2008/11/1,2008/12/1,2009/1/1,2009/2/1,2009/3/1,2009/4/1,2009/5/1,2009/6/1,2009/7/1,2009/8/1,2009/9/1,2009/10/1,2009/11/1,2009/12/1,2010/1/1,2010/2/1,2010/3/1,2010/4/1,2010/5/1,2010/6/1,2010/7/1,2010/8/1,2010/9/1,2010/10/1,2010/11/1,2010/12/1,2011/1/1,2011/2/1,2011/3/1,2011/4/1,2011/5/1,2011/6/1,2011/7/1,2011/8/1,2011/9/1,2011/10/1,2011/11/1,2011/12/1,2012/1/1,2012/2/1,2012/3/1,2012/4/1,2012/5/1,2012/6/1,2012/7/1,2012/8/1,2012/9/1,2012/10/1,2012/11/1,2012/12/1,2013/1/1,2013/2/1,2013/3/1,2013/4/1,2013/5/1,2013/6/1,2013/7/1,2013/8/1,2013/9/1,2013/10/1,2013/11/1,2013/12/1,2014/1/1,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1
2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268657,0.041176,-0.165607,0.029623,0.318126,0.210165,0.236537,-0.069598,0.01187,0.039398,-0.160989,-0.162944,0.158278,0.205236,0.004778,-0.060095,0.196412,-0.0792,0.072234,-0.143302,0.215909,0.019813,-0.020894,-0.013852,-0.017844,-0.000387,-0.016241,-0.082578,0.009881,0.013699,-0.185972,0.003162,0.030733,-0.101682,0.108936,0.127398,-0.078379,-0.104276,0.08794,0.058507,-0.078545,-0.171271,0.159048,-0.011504,0.007481,-0.055281,-0.040175,0.256916,-0.128625,0.107508,0.071649,-0.010065,0.042847,0.000696,-0.013918,-0.114326,-0.07251,-0.06701,-0.061694,0.068695,0.01176,-0.005655,0.042654,0.079091,-0.019377,-0.003436,0.084483,-0.056439,0.048863,0.42249,0.212309,0.142573,0.093776,,-0.100152,-0.420742,0.18195,0.280788,-0.131731,-0.305648,0.342903,0.226841,-0.11423,-0.062295,0.11655,-0.079332,0.036281,-0.054705,0.012731,-0.016,,,,0.106852,-0.206716,-0.109788,0.054548,-0.004261,0.044223,-0.031421,-0.049365,-0.111276,0.050083,-0.084261,-0.107639,0.2393,-0.138933,,,,,,,0.103321
2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.088707,-0.002439,-0.223472,0.085013,0.107371,0.142034,0.004589,0.391503,0.040053,0.05524,-0.128926,0.027818,-0.128394,0.169615,0.322262,-0.1047,0.071389,-0.056261,-0.14533,-0.08711,0.144014,-0.071099,-0.120278,-0.099129,0.125945,-0.090604,0.01189,-0.138169,0.090268,0.043553,-0.073554,-0.131133,0.177105,0.106847,-0.067376,-0.047706,-0.133244,-0.116195,0.091332,-0.044776,0.032366,-0.204324,0.110734,0.162691,0.067859,-0.111823,-0.004437,0.281554,-0.30524,0.213702,0.012429,0.517136,-0.055968,0.104643,-0.057549,0.182847,0.118909,-0.21747,0.058297,0.183142,0.04244,0.211705,-0.01134,0.109176,-0.05247,-0.047292,-0.197285,0.127907,0.044986,0.524215,0.048838,0.092286,-0.184643,-0.082907,-0.238194,0.380091,0.273115,0.101468,-0.076455,-0.215696,-0.020013,0.100461,-0.042502,-0.037512,0.061384,-0.06919,0.006579,-0.082026,0.017088,-0.025551,-0.131825,0.016963,0.030513,-0.141729,-0.115915,-0.101977,0.055621,0.018671,0.158491,0.070265,-0.129565,-0.125874,0.04,-0.052198,-0.058551,0.10468,-0.134337,0.016742,-0.206706,0.017586,-0.12883,-0.015329,-0.098901,0.042683
2228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031332,0.246181,-0.138428,0.029289,0.071545,0.133536,0.054886,-0.067893,0.031995,0.015831,-0.038961,0.050636,0.09456,0.065089,-0.033333,-0.051149,-0.038159,0.032116,-0.005491,-0.110429,0.037931,-0.016611,-0.078378,-0.09824,-0.007837,-0.031621,0.104762,-0.050493,-0.006485,-0.074413,-0.180536,-0.068847,0.140481,-0.092382,0.023214,-0.012154,-0.073741,-0.069903,-0.05428,0.028698,0.008584,-0.138298,0.081481,0.079909,0.065539,-0.03373,0.010267,0.231707,-0.077939,0.100182,0.018212,0.026016,-0.085578,0.091854,0.039682,0.010687,0.006042,0.066066,0.18169,0.028606,0.133256,0.036198,0.087215,0.038286,0.028973,0.179181,-0.024602,0.031157,0.030935,0.269365,0.192963,0.460829,-0.086841,-0.34974,-0.100213,,,,,,-0.111967,0.352235,-0.151949,-0.088742,0,-0.057554,0.024809,-0.031657,0.061538,-0.001812,-0.047187,-0.04,0.055556,-0.022556,-0.069231,-0.066093,0.042506,-0.004292,0.006465,0.002141,0.115385,-0.159004,-0.025057,-0.03972,-0.021898,0.067164,-0.004662,-0.021077,0.152792,0.230608,0.109029,0.115207,-0.322314,-0.089431
2229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032974,0.495067,0.021351,-0.115432,0.089116,0.173709,0.125714,-0.158376,0.063932,0.000375,-0.132075,-0.02635,-0.161028,0.128226,0.072194,-0.057333,0.078501,-0.02623,0.249158,-0.157412,0.108125,-0.036952,-0.064748,-0.1013,0.066282,-0.057432,-0.019355,-0.049708,0.012308,0.018237,0.056716,-0.02048,0.209805,0.016687,-0.146995,-0.075597,-0.084648,-0.211599,0.200795,-0.097682,0.088073,-0.146712,0.150198,0.149485,-0.032885,-0.044822,-0.080906,0.262305,0.007032,0.851955,0.118401,0.070802,-0.29534,0.134048,0.156816,0.384196,-0.028051,-0.161013,0.100785,0.06579,-0.078982,-0.104645,0.053125,0.15905,-0.007681,0.046956,-0.242977,0.139323,0.038857,0.523652,0.341155,0.030417,-0.376176,-0.175879,-0.292683,0.038793,0.561549,0.313109,0.00371,-0.445565,0.227273,0.22963,0.091968,0.054064,-0.124913,-0.035486,-0.030591,-0.001706,0.021358,0.054789,-0.066614,-0.115123,0.120019,0.017145,-0.20059,-0.161138,0.056604,-0.129464,0.175385,0.00349,0.044348,-0.17652,-0.049545,0.120213,0.018044,0.100746,-0.043404,0.085485,-0.269893,-0.111236,-0.206068,0.140127,-0.02514,-0.054441
2230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006865,0.811521,-0.229458,0.043249,0.053797,0.024024,0.06129,0.019619,-0.023306,0.13596,0.032561,-0.059159,-0.099747,0.151473,0.194397,0.064654,0.151341,0.371048,-0.041262,-0.207848,0.092681,-0.025911,-0.021911,-0.139261,0.086665,-0.041481,-0.072643,-0.172222,0.254362,0.00321,-0.066667,-0.148,0.316566,-0.085074,-0.024777,0.011409,-0.162415,0.002538,0.455696,-0.011478,-0.015482,-0.129378,0.243842,-0.064686,0.191249,0.068424,0.038259,0.224032,0.007853,0.170996,-0.135305,0.021116,-0.084418,0.072936,0.022873,0.134796,-0.070166,-0.108734,-0.051828,-0.051621,0.122363,-0.054511,0.050895,0.18426,-0.050479,0.034657,-0.133333,0.20075,0.246875,0.303258,0.413409,0.04908,-0.318908,0.066686,-0.258653,-0.03004,0.393657,-0.062383,0.057967,-0.317139,0.000395,0.103516,,0.042998,0.131588,-0.117199,0.047241,-0.063879,0.05452,-0.010007,-0.087264,-0.002215,0.137995,0.141092,-0.093912,-0.059306,0.338028,0.188471,0.202235,-0.058937,-0.000932,0.228731,-0.102035,-0.07068,0.004185,0.102192,-0.132336,0.03087,-0.114333,-0.02058,-0.005094,-0.08576,-0.210011,0.090829
2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00161,0.114952,-0.209805,0.341241,0.089796,0.01623,0.157862,-0.053581,-0.023543,0.077497,-0.082046,-0.118518,0.023857,0.160194,0.132218,0.023651,0.138628,-0.066582,-0.006114,-0.065619,0.054133,-0.041638,-0.073135,-0.040251,0.011485,0.052717,-0.061633,0.099343,0.015683,-0.018382,-0.116105,0.15678,0.113553,0.236842,0.055842,-0.082233,-0.047566,-0.14518,0.02038,-0.04261,-0.058415,-0.196455,0.119485,0.106732,0.043027,-0.086771,-0.113707,0.184534,-0.259644,0.138277,0.146127,0.089094,,0.008463,-0.103496,0.031201,0.320726,-0.124857,0.057592,0.05198,-0.052941,0.016149,0.069682,0.123429,0.061038,0.088207,-0.307489,0.061069,0.213429,0.282609,,1.05624,-0.290494,-0.12467,-0.242607,0.023904,0.414786,-0.10341,0.003681,,,0.099633,-0.183991,-0.021117,0.075852,-0.097025,0.010029,-0.08156,0.064093,0.117562,-0.007143,-0.093525,0.023088,-0.026798,-0.207246,0.005484,-0.023636,0.009311,0.0369,0.08185,-0.027138,-0.092139,0.024209,-0.107273,-0.185336,0.1025,-0.117914,-0.134961,-0.135216,0.168317,-0.035346,-0.09313,-0.104377,0.203008
2232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.078235,0.185705,-0.276642,0.026786,0.078261,0.12836,0.032758,0.063437,-0.04013,0.129609,-0.200432,-0.024324,-0.163436,0.109349,0.056433,0.211538,0.199882,0.255757,-0.103004,-0.190518,0.056421,-0.089013,-0.101061,-0.080001,0.05104,-0.041367,0.072233,-0.144357,0.03272,-0.10099,-0.114537,-0.062189,0.104775,0.057623,0.07605,-0.114979,-0.115614,-0.118598,0.038226,-0.002946,-0.011817,-0.168909,0.125899,0.099042,0,-0.0625,-0.088372,0.280612,-0.213844,0.189509,-0.002845,0.035663,-0.114325,0.082426,0.094828,0.198163,0.044907,-0.159329,0.008728,0.135011,0.075164,-0.030395,0.039707,0.230151,0.017974,-0.066613,-0.116939,0.093476,0.130899,0.44252,-0.00655,0.607143,-0.353804,-0.110582,-0.286734,-0.017515,0.348896,-0.011957,0.355414,-0.443139,-0.081013,0.476584,-0.098259,-0.01931,0.077431,-0.091384,-0.02227,-0.04482,0.031538,0.023117,-0.029883,-0.066867,0.011272,0.066083,-0.089619,0.174733,-0.14424,-0.101974,0.048535,0.066376,-0.025389,-0.095798,-0.016729,-0.108696,-0.073171,0.186499,-0.020251,-0.150591,-0.089103,0.056338,-0.05697,-0.002571,-0.07732,0.01257
2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027797,0.183232,-0.280571,0.096108,0.034058,0.179397,-0.023767,-0.108947,0.02459,0.064237,-0.196732,-0.117371,-0.096631,0.158979,0.166808,-0.029753,0.077786,0.125607,0.00185,-0.113846,0.186111,0.121194,0.113838,-0.15262,0.47,0.074074,-0.059817,-0.135479,0.064069,-0.204231,-0.038855,0.045745,0.098678,-0.171296,0.13257,0.129032,-0.175,-0.132035,-0.094763,0.128099,-0.039072,-0.057179,0.132075,0.009524,-0.012972,-0.114695,-0.00135,0.019111,-0.219839,0.012027,0.076401,-0.009464,0.001592,0.076312,-0.050222,-0.065319,-0.016639,0.035533,0.022876,0.008271,-0.011419,0.117162,0.031019,0.080229,0.136605,-0.014002,0.20355,-0.089479,0.089633,0.176412,0,0.447368,0.030448,-0.100232,-0.374115,-0.158436,0.240831,0.147783,0.257511,-0.449147,0.167286,-0.012739,-0.048388,-0.05421,-0.020732,-0.008717,0.077889,0.018648,0.042334,0.063666,-0.035088,0.171123,0.054795,-0.060606,0.239988,-0.095166,0.01586,0.092851,0.034587,-0.037791,0.026435,-0.101545,,-0.016793,-0.06234,0.027322,0.026595,0.009752,0.00439,0.062937,0.029605,-0.026766,-0.122762,0.035957
2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06658,0.04965,-0.094604,-0.011773,0.058079,0.175229,0.00479,-0.041716,0.070896,-0.007549,-0.136922,-0.144407,-0.091125,0.240628,0.144765,0.028852,0.306086,0.183646,-0.136627,-0.141708,0.208333,-0.131034,0.074901,0.031841,0.118286,0.14257,0.079086,-0.134528,0.085058,0.036074,-0.1001,0.069196,0.060195,-0.015425,-0.109667,0.031823,-0.156741,-0.104464,-0.138584,0.121528,0.040248,-0.126984,0.090909,0.144792,0.010009,-0.22973,0.05614,0.189369,-0.217877,0.207143,0.083826,-0.142857,-0.126327,0.18469,-0.081026,-0.215402,-0.055477,0.052711,,,,,,,,,,,,,,0.070866,0.167647,0.070529,-0.405882,-0.023762,0.319473,0.380477,0.001114,-0.137931,0.374839,0.360863,-0.072069,0.185805,-0.078345,0.127168,-0.071795,-0.126097,0.024916,-0.124456,-0.105678,-0.172845,0.137255,-0.148768,-0.250579,-0.162162,0.146544,0.478296,-0.184883,-0.076051,0.043321,-0.120415,-0.103069,-0.062281,0.057063,-0.035398,0.000917,0.219065,-0.129323,0.217617,-0.034043,-0.09765,-0.044752,0.051959
2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003992,0.069113,-0.122107,0.072727,0.05339,0.231698,0.038537,-0.035849,0.066536,0.001835,-0.015263,-0.141971,-0.088873,0.340206,-0.033077,0.038186,0.101916,0.05007,-0.050993,-0.127704,0.0648,-0.030804,-0.04031,-0.128433,0.082484,0.083904,0.21722,-0.111616,0.005113,0.007267,-0.310245,-0.094142,0.322171,0.020087,-0.029966,-0.074139,-0.184938,-0.153216,-0.024862,0.140227,-0.008696,-0.270677,0.158076,0.169139,-0.036802,-0.007905,-0.175299,0.273839,0.106021,0.491124,-0.015079,0.16116,-0.241499,0.084172,-0.104641,0.468426,-0.056483,-0.129932,0.164973,0.265101,-0.118833,-0.090909,0.054305,0.091709,0.040276,-0.127766,,,0.026633,0.315627,0.403286,0.343259,-0.256538,-0.025126,,,,,,-0.037801,-0.119643,0.278702,-0.053459,-0.026144,-0.059886,0.103789,0.024876,-0.043689,-0.03401,-0.036259,-0.131952,-0.117462,0.20427,0.001182,-0.190673,-0.160467,0.059948,0.014754,-0.008078,-0.025244,-0.050961,-0.057218,-0.042017,0.093567,-0.060606,0.001898,0.180871,0.00401,-0.188898,-0.025111,-0.006061,-0.073171,-0.134868,0.201521
2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004954,0.114272,-0.141702,0.100397,0.040099,0.321204,0.186557,-0.034264,0.108727,0.096774,-0.063529,0.067341,0.07092,0.33887,0.306203,-0.02001,0.074567,0.081179,-0.066963,-0.18145,0.060151,-0.017722,0.174825,-0.066667,0.162282,0.075072,0.020127,-0.142742,-0.006341,0.055306,0.110862,-0.149395,0.102394,0.033756,0.036398,0.163839,0.063388,0.126384,0.090226,0.087533,0.056098,-0.103464,0.193972,0.05329,0.137853,0.251125,0.075345,0.101127,-0.068697,-0.008109,0.144515,0.05023,-0.121983,0.048226,-0.025507,-0.103229,-0.176214,-0.053311,0.001399,-0.060219,0.005222,-0.083488,-0.053036,0.178709,-0.06021,-0.064454,-0.094472,0.170843,0.078599,0.318543,0.010397,0.141162,-0.240904,0.26817,-0.117589,-0.053471,0.032831,0.108534,-0.046758,-0.196748,0.04251,0.166343,-0.032044,-0.041817,-0.014296,0.135878,0.017473,0.024439,-0.057382,-0.021204,-0.044025,0.001462,0.118248,0.042428,0.15216,0.016304,0.225343,0.055677,0.022841,-0.022736,0.152887,-0.122883,-0.051356,0.137722,0.100114,-0.113495,-0.12178,0.086758,-0.070103,-0.166741,-0.172432,-0.050161,-0.220718,0.158992
2237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236754,0.105751,-0.238569,0.06578,0.060215,0.097769,-0.030118,-0.11907,0.013841,-0.039249,-0.069716,-0.14463,-0.135324,0.111972,0.159896,0.34651,-0.041249,-0.07655,0.141238,-0.168628,0.112365,-0.076755,-0.006461,-0.143724,0.023544,0.080633,0.11696,-0.197131,-0.067126,-0.001368,-0.16411,0.202229,0.041439,-0.132984,0.149758,0.05646,-0.031071,-0.106429,-0.105903,0.654369,-0.159233,-0.136808,0.249057,0.006905,-0.046292,-0.119101,-0.085204,0.010039,-0.246825,0.050587,0.175157,-0.064727,-0.092064,-0.002797,-0.036466,0.035662,0.050597,-0.093645,-0.066421,-0.003953,0.013492,0.166014,-0.043653,0.057584,-0.00332,0.140573,-0.053154,0.081431,0.061038,0.212903,0.332156,-0.035523,-0.168172,-0.165414,-0.128128,-0.055109,0.167679,-0.020812,0.060574,-0.226453,0.268135,0.008172,0.085106,0.034547,0.162455,0.036491,-0.034457,-0.095423,0.023156,0.032691,-0.066558,-0.031304,0.051167,-0.038429,-0.016874,-0.102078,0.055332,0.103908,0.025043,-0.032856,-0.063589,-0.013953,,0.04049,-0.109502,0.054878,0.04817,0.047794,-0.199123,0.060332,-0.0762,-0.047458,-0.077106,0.023136
2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.098423,0.13296,-0.084002,0.072151,0.02956,0.09102,0.18757,0.257897,-0.04048,-0.00625,0.053459,-0.145522,-0.159804,0.13309,0.116997,-0.011134,0.035863,0.268921,-0.137056,-0.128309,0.048081,-0.073642,0.034318,-0.034439,-0.060707,0.069235,0.084073,-0.156069,0.13242,0.018145,-0.14703,-0.171793,0.20883,-0.067826,,,-0.10922,-0.114547,-0.04127,-0.049669,0.012195,-0.20654,0.16269,0.104478,-0.011824,0.026496,-0.085762,0.218579,-0.193755,0.193458,-0.018011,0.242424,-0.143132,0.133333,-0.1269,0.074186,-0.032417,-0.06118,-0.027929,-0.005613,0.013754,0.042299,0.039816,0.195876,-0.062192,-0.018385,-0.062207,0.067047,0.216577,0.387363,-0.017426,0.515518,-0.174267,,,,,-0.06271,-0.003143,-0.347748,-0.013122,0.356193,-0.101651,-0.018955,0.028618,0.006911,0.006863,-0.045671,0.081429,0.013871,-0.045603,-0.037543,0.060284,0.002676,-0.125417,-0.092296,0.025424,-0.092437,0.040741,-0.033808,0.133518,-0.14866,-0.040076,-0.085487,-0.056522,0.046083,-0.110132,-0.014851,-0.122881,0.004458,-0.096154,0.00982,-0.110211,0.459017
2239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.044812,0.061728,-0.19186,0.117986,0.105534,0.437718,0.109312,-0.159854,0.050391,0.055418,-0.142633,-0.037477,0.135157,-0.064706,0.04133,-0.063848,0.029493,-0.059087,-0.019981,-0.096117,0.077336,-0.023928,0.012257,-0.182644,-0.017275,0,-0.083123,0.318681,0.103125,0.002833,,-0.370998,0.133234,0.080581,-0.025672,0.107905,-0.080865,-0.132099,0.165007,0.13431,0.079656,-0.092722,0.20989,0.066303,-0.011073,-0.039621,-0.104933,0.10521,-0.109875,-0.010204,0.006186,-0.010246,0.377847,-0.150263,0.110522,0.025478,-0.170807,-0.043071,0.019569,-0.073896,0.185492,-0.075874,,,,,0.268924,0.056515,0.197623,0.225806,0.167004,0.589766,,,,,,,,-0.439923,-0.007797,0.221022,0.01609,0.054632,0.209459,-0.006207,-0.00812,-0.033375,0.02215,,,,-0.096877,-0.053634,-0.082028,-0.051178,0.042934,-0.030023,-0.02619,0.161369,-0.136842,-0.051219,,-0.076733,-0.016086,-0.010899,,,,,-0.097797,-0.269939,-0.147059,0.093596
2240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045759,0.194503,-0.273451,0.001218,0.082725,0.275281,0.014097,0.086012,-0.0608,0.022147,-0.119167,-0.179754,0.028835,0.096413,0.037832,-0.012808,0.035928,0.058767,-0.077343,-0.085799,0.18123,0.079452,0.047715,-0.102067,0.021583,0.152113,-0.110024,-0.156593,-0.052117,-0.079038,-0.242537,0.012315,0.136253,0.070664,-0.052,0.196203,-0.222222,-0.165533,0.032609,0.039474,-0.035443,-0.057743,0.114206,0.025,0.053659,0.206019,-0.084453,,,,,,,0.614256,0.863636,0.412544,0.159349,-0.257447,0.375358,0.005417,0.028181,0.043934,-0.069498,-0.004564,0.123385,-0.030056,-0.143458,-0.244752,-0.124187,0.188386,-0.009091,0.131881,-0.31307,-0.086283,,,,-0.013721,0.119476,-0.369883,-0.0058,0.259043,0.017609,-0.050091,0.28092,-0.127246,-0.063465,0.076007,-0.011064,0.037866,-0.04063,-0.063959,0.075716,-0.04206,-0.001792,-0.002693,0.057606,0.251064,0.227891,-0.083657,0.070133,-0.21017,0.060086,-0.039811,0.127196,0.028678,-0.128485,0.013908,-0.108368,0.035385,-0.109955,-0.111853,-0.182331,0.001149
2241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027065,0.272468,-0.047085,0.052353,0.050307,0.38744,0.060606,0.092224,-0.003311,0.259759,0.071429,0.037407,0.080328,-0.054858,0.103147,0.212044,0.139644,0.032584,0.214889,-0.195354,0.099795,-0.076685,-0.059772,-0.040714,0.265647,0.099291,-0.073477,-0.10677,0.106107,0.028191,-0.086062,-0.054583,0.146761,-0.00269,0.00578,0.165134,0.199934,-0.063031,0.083559,0.01194,0.006704,-0.046617,0.053367,-0.062865,0.067082,0.33687,-0.021825,0.282127,0.035674,-0.038578,0.175122,0.03122,-0.174787,0.106907,-0.091662,-0.176739,-0.047438,-0.069429,0.085937,-0.039037,0.001503,-0.024381,0.056132,0.002912,-0.019601,-0.010367,-0.082305,0.169996,0.036585,0.119328,-0.017718,0.244268,-0.115891,-0.174095,-0.206071,0.004673,0.08203,0.237984,0.092172,-0.208671,-0.136231,0.082452,0.119922,-0.054063,0.061202,-0.11053,0.138769,0.04062,0.016209,-0.078451,-0.063229,0.044872,0.074341,0.143433,0.024971,-0.021301,0.134118,-0.002593,0.123245,-0.062963,0.093874,-0.144986,-0.083465,-0.193084,0.111429,-0.137532,-0.157228,0.006256,-0.097431,-0.055937,-0.076923,-0.065315,-0.124096,-0.011004
